question|answer
['Where is the S3C Golf Classic held?']|['Glenview Golf Course', '10965 Springfield Pike, Cincinnati, OH 45246', '']
['What is the best time to arrive on Saturday, May 7 to prepare for golf?']|['12:00 pm', 'At this time, lunch and golf registration will be open.']
