year_key|sponsor_option_title|stripe_price_variable|sponsor_option_textarea|count
2017-05-13|Gold Sponsor|5000|Two complimentary golf foursome registrations; Recognition as the presenting event sponsor|0
2017-05-13|Silver Sponsor|2500|One complimentary golf foursome; Recognition as an event sponsor|1
