year_key|event_day|location|time|description
2017-05-13|2021-08-13|Bar|6:00 PM|Party
2017-05-13|2021-08-13|Bar|10:00 PM|Party Over
2017-05-13|2021-08-14|Glenview Golf Course|1:00 PM|Shotgun Start
2017-05-13|2021-08-14|Glenview Golf Course|6:00 PM|Awards
2017-05-13|2021-08-14|Glenview Golf Course|11:30 PM|Range Opens
2022-05-07|2022-05-07|Glenview Golf Course|11:30 AM|Registration Opens
2022-05-07|2022-05-07|Glenview Golf Course|12:00 PM|Lunch 
2022-05-07|2022-05-07|Glenview Golf Course|1:30 PM|Shotgun Start 
2022-05-07|2022-05-07|Glenview Golf Course|6:30 PM|Golf After-Party
